datetime,open,high,low,close,volume,month,MA20,MA50
2025-10-22 13:45:00,4053.8,4060.85,4023.59,4035.03,10335,10,4101.2595,4107.7236
2025-10-22 14:00:00,4034.79,4040.55,4015.13,4031.88,13212,10,4095.9785,4105.8654
2025-10-22 14:15:00,4031.88,4045.09,4017.47,4020.63,10253,10,4089.9165000000003,4103.8148
2025-10-22 14:30:00,4020.58,4030.77,4015.01,4022.56,9560,10,4083.0755000000004,4101.925
2025-10-22 14:45:00,4022.5,4034.1,4015.47,4027.59,9014,10,4076.671,4100.004599999999
2025-10-22 15:00:00,4027.89,4045.05,4026.0,4035.92,18032,10,4071.5875,4098.232800000001
2025-10-22 15:15:00,4035.94,4045.77,4027.8,4045.03,21638,10,4066.749,4097.2742
2025-10-22 15:30:00,4045.19,4050.73,4041.5,4044.87,17880,10,4062.1385,4097.449799999999
2025-10-22 15:45:00,4044.98,4053.43,4022.81,4033.73,15903,10,4057.183,4097.1448
2025-10-22 16:00:00,4033.83,4068.55,4033.18,4064.23,26313,10,4056.012,4096.923
2025-10-22 16:15:00,4064.23,4068.03,4050.97,4052.41,18604,10,4053.4905,4096.471
2025-10-22 16:30:00,4052.44,4085.15,4046.71,4070.98,21242,10,4052.648,4095.5554
2025-10-22 16:45:00,4071.01,4080.0,4063.54,4075.8,18316,10,4052.921,4094.9806
2025-10-22 17:00:00,4075.6,4078.28,4056.0,4064.34,17909,10,4052.3625,4094.302
2025-10-22 17:15:00,4064.11,4073.24,4047.11,4056.05,16890,10,4051.3805,4093.683
2025-10-22 17:30:00,4056.05,4058.69,4024.02,4029.75,17799,10,4049.7185,4091.9708
2025-10-22 17:45:00,4029.97,4030.94,4010.81,4014.95,18318,10,4046.9934999999996,4090.0627999999997
2025-10-22 18:00:00,4014.84,4044.75,4014.69,4039.07,15436,10,4045.1665000000003,4088.5996
2025-10-22 18:15:00,4039.02,4047.33,4028.02,4029.2,15286,10,4042.398,4086.8874
2025-10-22 18:30:00,4029.0,4041.61,4023.0,4034.87,18818,10,4041.4445,4085.3404000000005
2025-10-22 18:45:00,4034.85,4046.75,4034.13,4037.02,16875,10,4041.5440000000003,4083.7466
2025-10-22 19:00:00,4036.94,4037.27,4023.1,4030.4,16298,10,4041.47,4081.5766
2025-10-22 19:15:00,4030.24,4045.94,4028.66,4043.64,12252,10,4042.6204999999995,4079.8788
2025-10-22 19:30:00,4043.67,4064.04,4037.36,4050.59,30029,10,4044.022,4078.4192
2025-10-22 19:45:00,4050.56,4064.1,4044.77,4059.21,18252,10,4045.603,4077.0239999999994
2025-10-22 20:00:00,4059.05,4059.32,4043.58,4055.68,17877,10,4046.5910000000003,4075.5758
2025-10-22 20:15:00,4055.69,4058.97,4046.93,4049.49,18735,10,4046.814,4074.0044
2025-10-22 20:30:00,4049.8,4060.71,4044.91,4054.91,14570,10,4047.316,4072.275
2025-10-22 20:45:00,4054.85,4071.12,4054.6,4069.97,16448,10,4049.1279999999997,4070.8636000000006
2025-10-22 21:00:00,4070.03,4075.82,4066.37,4075.82,10500,10,4049.7074999999995,4069.6177999999995
2025-10-22 21:15:00,4075.85,4078.93,4068.6,4073.7,9236,10,4050.772,4068.3896000000004
2025-10-22 21:30:00,4073.76,4081.34,4073.72,4076.06,8156,10,4051.0260000000003,4067.1608
2025-10-22 21:45:00,4076.1,4078.99,4074.13,4076.8,6480,10,4051.076,4065.8594
2025-10-22 22:00:00,4076.8,4093.79,4076.52,4092.82,7856,10,4052.5,4064.5282
2025-10-22 22:15:00,4092.7,4105.6,4088.85,4105.34,9501,10,4054.9644999999996,4063.5213999999996
2025-10-22 22:30:00,4105.33,4113.44,4101.98,4103.14,16391,10,4058.6339999999996,4062.8324
2025-10-22 22:45:00,4103.08,4108.49,4099.77,4102.27,10679,10,4063.0,4062.0418
2025-10-22 23:00:00,4102.02,4105.1,4098.31,4104.68,4322,10,4066.2805,4061.3938
2025-10-22 23:15:00,4104.72,4107.57,4088.43,4092.18,4844,10,4069.4294999999997,4060.5806
2025-10-22 23:30:00,4092.14,4103.68,4092.01,4101.94,3846,10,4072.7830000000004,4060.8664000000003
2025-10-22 23:45:00,4102.13,4103.55,4097.3,4098.0,2237,10,4075.832,4060.7696
2025-10-23 01:00:00,4095.87,4116.48,4093.15,4098.64,2269,10,4079.244,4060.9858000000004
2025-10-23 01:15:00,4098.62,4110.36,4098.54,4102.65,2102,10,4082.1945,4061.6319999999996
2025-10-23 01:30:00,4102.52,4102.83,4091.81,4098.18,2082,10,4084.5739999999996,4062.0854000000004
2025-10-23 01:45:00,4098.0,4103.51,4094.47,4101.86,2235,10,4086.7065000000002,4062.6088
2025-10-23 02:00:00,4101.87,4104.48,4084.39,4090.46,6137,10,4088.4454999999994,4063.1581999999994
2025-10-23 02:15:00,4090.39,4091.56,4080.2,4085.94,6359,10,4090.268,4063.488
2025-10-23 02:30:00,4085.96,4095.08,4083.39,4088.67,5284,10,4091.9559999999997,4063.7491999999997
2025-10-23 02:45:00,4088.7,4093.06,4085.18,4087.5,7514,10,4092.8324999999995,4063.8078000000005
2025-10-23 03:00:00,4087.42,4096.76,4082.91,4085.68,9758,10,4093.3255000000004,4064.4426000000003
2025-10-23 03:15:00,4085.72,4087.83,4065.89,4076.03,14728,10,4093.442,4065.2626
2025-10-23 03:30:00,4076.19,4084.39,4071.73,4081.23,9653,10,4093.7005,4066.2496
2025-10-23 03:45:00,4081.25,4085.72,4079.16,4081.9,8588,10,4093.9555,4067.475
2025-10-23 04:00:00,4081.85,4081.86,4071.65,4077.4,15315,10,4093.1845000000003,4068.5717999999997
2025-10-23 04:15:00,4077.52,4092.67,4073.47,4087.24,10298,10,4092.2795000000006,4069.7648000000004
2025-10-23 04:30:00,4087.23,4091.29,4081.08,4081.7,9218,10,4091.2075000000004,4070.6803999999997
2025-10-23 04:45:00,4081.66,4087.15,4072.73,4073.14,9179,10,4089.751,4071.2426
